dropout,learning_rate,training_epoch,training_accuracy,testing_accuracy
1,0.001,50,0.9426,0.8368
1,0.001,100,0.9592,0.8782
1,0.001,10,0.9068,0.8035
1,0.001,20,0.9212,0.8347
1,0.001,30,0.9237,0.8629
1,0.001,50,0.9241,0.8551
1,0.001,100,0.9539,0.8622
1,0.005,10,0.9032,0.793
1,0.005,20,0.9117,0.8531
1,0.005,30,0.9377,0.8558
1,0.005,50,0.8569,0.8154
1,0.005,100,0.8852,0.8358
1,0.01,10,0.9106,0.8178
1,0.01,20,0.833,0.7866
1,0.01,30,0.8655,0.8096
1,0.01,50,0.7882,0.7499
1,0.01,100,0.2159,0.1944
1,0.05,10,0.4189,0.3692
1,0.05,20,0.3252,0.3163
1,0.05,30,0.173,0.1829
1,0.05,50,0.1925,0.1832
1,0.05,100,0.1341,0.1425
1,0.1,10,0.3251,0.3047
1,0.1,20,0.1914,0.1826
1,0.1,30,0.1925,0.1965
1,0.1,50,0.1786,0.1697
1,0.1,100,0.1914,0.1822
